condition,predicted value
1,0.99999046
1,0.9997117
1,0.9698715
0,0.009194637
1,0.97915834
1,0.9997634
1,0.99999166
0,0.014997967
0,0.002360205
1,0.99985206
0,0.003940614
0,0.00364009
0,0.24437523
0,0.015433759
1,0.7524067
1,0.999851
1,0.96420074
1,0.999995
1,0.9940451
1,0.99428624
1,0.90481395
1,0.99099135
1,0.99435353
0,0.92167264
1,0.996711
0,0.002128494
1,0.9994349
0,0.001572658
1,0.99998
1,0.9970782
1,0.9065204
1,0.99982786
0,0.85945356
0,0.001127874
1,0.9999999
1,0.99967873
0,6.26E-05
1,0.9565025
0,0.24437523
1,0.9999912
